BusID,RouteType,TimeStep,SoC,Voltage,Current,Temperature,CycleCount,AhThroughput,CalendarAge,Capacity,SoH,AvgDoD,Speed,Passengers,IsCharging,IsRegenerating
Bus-001,CITY_CENTER,157,0.86737186,358.53156,164.29071,26.951088,0.5000558,412.04416,0.10902798,300.0,100.0,0.29691714,30.0,7,false,false
Bus-001,CITY_CENTER,158,0.8639201,358.35992,167.01729,26.959223,0.50350755,414.9338,0.10972243,300.0,100.0,0.29691714,21.0,7,false,true
Bus-001,CITY_CENTER,159,0.8681146,358.20654,53.67973,26.972147,0.50770205,418.44672,0.110416874,300.0,100.0,0.30917034,21.0,8,false,true
Bus-001,CITY_CENTER,160,0.87232494,358.4163,-25.858803,26.985165,0.5119124,421.97086,0.11111132,300.0,100.0,0.320357,0.0,8,false,false
Bus-001,CITY_CENTER,161,0.87232494,358.61624,-18.101162,26.983276,0.5119124,421.97086,0.11180577,300.0,100.0,0.320357,0.0,8,false,false
Bus-001,CITY_CENTER,162,0.87232494,358.61624,-12.670814,26.981392,0.5119124,421.97086,0.11250021,300.0,100.0,0.320357,15.0,9,false,false
Bus-001,CITY_CENTER,163,0.8651573,358.59827,99.065,27.022657,0.51908004,427.96722,0.11319466,300.0,100.0,0.320357,15.0,9,false,false
Bus-001,CITY_CENTER,164,0.85830504,358.24066,172.6341,27.060276,0.5259323,433.70547,0.113889106,300.0,100.0,0.320357,30.0,10,false,false
Bus-001,CITY_CENTER,165,0.858079,357.91467,124.25393,27.058416,0.52615833,433.89493,0.11458355,300.0,100.0,0.320357,30.0,11,false,false
Bus-001,CITY_CENTER,166,0.8584355,357.90485,81.59863,27.056625,0.5265148,434.19376,0.115278,300.0,100.0,0.2918865,30.0,11,false,false
Bus-001,CITY_CENTER,167,0.85929286,357.92395,44.184013,27.055347,0.5273722,434.91235,0.115972444,300.0,100.0,0.27127147,30.0,12,false,false
Bus-001,CITY_CENTER,168,0.8605429,357.96777,12.07222,27.05477,0.5286222,435.95993,0.11666689,300.0,100.0,0.25664443,21.0,12,false,true
